Book-Page,Name,Essence Cost,Cost,Index,Modifiers,description
CT-???,Quickness Lv1,0.00,90000,1.50,+1QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv2,0.00,180000,1.50,+2QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv3,0.00,270000,1.50,+3QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv4,0.30,110000,1.50,+4QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv5,0.60,220000,1.50,+5QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Quickness Lv6,0.90,330000,1.50,+6QCK,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,Body Enhance Lv1,0.00,75000,1.50,+1BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv2,0.00,150000,1.50,+2BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv3,0.00,225000,1.50,+3BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv4,0.00,300000,1.50,+4BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv5,0.00,375000,1.50,+5BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Enhance Lv6,0.00,450000,1.50,+6BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Magnetic Cyberlimb,0.00,2800,2.00,,"Each limb system can only hold about 25 kilograms. Multiple systems are cumulative. The weight the magnets can hold is subtracted from the weight of anything being held (see Dangling and Holding, p. 51 of Cyberware Rules)."
CT-???,Cyberarm Gyromount,1.50,260000,2.00,,"This piece of cyberware works like a standard gyromount and provides 3 points of recoil reduction. It can be used with any weapon up to and including a light machine gun."
CT-???,Direct NeuralInter,0.10,4500,1.00,,"Allows cybernetic control of any device not originally designed to be cybernetically controlled that is placed in a cyberlimb, at a 50 percent increase in the device's cost."
CT-???,Foot Anchor,0.40,14000,2.00,,"As a weapon, the foot spur does (STR-1)M Damage. As an anchor. it cannot penetrate materials with a Barrier Rating higher than 8, the Barrier Rating of most pavement. Each foot anchored increases the amount of weight a character can hold up or hang on to by a maximum of 50 kilograms. If the foot anchor is set into a material with a Barrier Rating of less than 8, each Barrier Rating point below 8 reduces the amount of weight by 5 kilograms. See Dangling and Holding, p. 51 of Cyberware Rules."
CT-???,Replacement Hand,0.00,28000,2.00,,"Attaching/removing a replacement hand requires a free hand and a Complex Action. A variety of tool and gear/weapon hands are available, at a 30-percent increase of the cost of the item itself. Weapons built into a replacement hand receive a +1 modifier to the target number for purposes of Combat Tests."
CT-???,Tactical Comp Lv1,3.50,350000,4.00,,"Cyberarm versions of these pieces of equipment work in the same way as cranial versions (pp. 53 and 63 of Shadowtech, respectively)."
CT-???,Tactical Comp Lv2,4.00,900000,4.00,,"Cyberarm versions of these pieces of equipment work in the same way as cranial versions (pp. 53 and 63 of Shadowtech, respectively)."
CT-???,Orientation System,0.50,15000,1.50,,"Cyberarm versions of these pieces of equipment work in the same way as cranial versions (pp. 53 and 63 of Shadowtech, respectively)."
CT-???,Hand Blade,0.10,7500,1.50,,"Hand blades do (STR + 3)L Damage. Essence Cost only applies if the blade is mounted in a normal hand."
CT-???,Hand Blade Retrac,0.25,10000,1.50,,"Hand blades do (STR + 3)L Damage. Essence Cost only applies if the blade is mounted in a normal hand."
CT-???,Shock Hand,0.00,1300,2.00,,"The shock hand does 8S Damage and holds 12 charges. It must be recharged after 12 uses The cyberarm taser does 10S Damage, but can fire only two shots before recharging. It has the same ranges as the standard taser (p. 103, SRII)."
CT-???,Cyberarm Taser,0.00,2000,1.50,,"The shock hand does 8S Damage and holds 12 charges. It must be recharged after 12 uses The cyberarm taser does 10S Damage, but can fire only two shots before recharging. It has the same ranges as the standard taser (p. 103, SRII)."
CT-???,CyberSquirt,0.00,1400,2.00,,"The cyberSquirt fires up to 10 shots at a time of chemical/biological agents in a special gelling agent. Like the non-cybered Ares Squirt. the cyberSquirt holds 10 chemical rounds and the gel reservoir holds enough gel for up to 20 shots. The reservoir must be reloaded once for every 2 cartridge reloads. The gel is made of DMSO (dimethyl sulfoxide), a utility chemical that forces the skin to absorb delivered chem - Ical/biological agents. Porous armor, such as armor clothing and Kevlar weaves, offers no protection against DMSO. Rigid armor (higher than 5, or plated) applies half its normal Defensive Rating (rounded up) against DMSO attacks. (See p. 92, Shadowtech, for effects of DMSO.)"
CT-???,CyberTorso,1.50,120000,1.00,+1BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute. The cybertorso also reduces by half (round up) the additional Essence cost of Strength or Quickness enhancements beyond 3 points (see Limb Enhancements, p. 31, and Cyberware Rules, p. 49)."
CT-???,CyberSkull,0.75,75000,1.00,+1BOD,"The cybertorso and cyberskull each add +1 to the character's Body Attribute."
CT-???,Body Plating S Lv1,0.00,10000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating S Lv2,0.00,20000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating S Lv3,0.00,30000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating S Lv4,0.00,40000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating S Lv5,0.00,50000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating S Lv6,0.00,60000,2.00,,"Soft armor adds | point of Ballistic and Impact armor per level, cumulative with any armor worn."
CT-???,Body Plating H Lv1,0.00,25000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Body Plating H Lv2,0.00,50000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Body Plating H Lv3,0.00,75000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Body Plating H Lv4,0.00,100000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Body Plating H Lv5,0.00,125000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Body Plating H Lv6,0.00,150000,2.00,,"Hard armor also adds 1 point of Ballistic and Impact armor per level, but functions as hardened armor per the critter power Hardened Armor (p. 218, SRII.) Body plating can also be applied to cyberlimbs. See also Armor, p. 49 of Cyberware Rules."
CT-???,Reaction Enhan Lv1,0.30,60000,2.00,+1RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reaction Enhan Lv2,0.60,120000,2.00,+2RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reaction Enhan Lv3,0.90,180000,2.00,+3RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reaction Enhan Lv4,1.20,240000,2.00,+4RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reaction Enhan Lv5,1.50,300000,2.00,+5RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reaction Enhan Lv6,1.80,360000,2.00,+6RCT,"Player characters may increase Reaction up to a maximum of +6 in this manner. The reaction enhancer is completely compatible with all other reaction/Initiative boosters except the move-by-wire system (see p. 39) and the adrenal pump (p. 19, Shadowtech)."
CT-???,Reflex Trigger,0.20,13000,1.00,,"Activating or deactivating wired reflexes with a reflex trigger requires a Simple Action. For additional information, see Effects of Wired Reflexes. p. 53 of Cyberware Rules."
CT-???,Move-by-Wire Lv1,2.50,250000,2.50,+1QCK,+2RCT,
CT-???,Move-by-Wire Lv2,3.85,500000,3.00,+2QCK,+4RCT,
CT-???,Move-by-Wire Lv3,5.20,1250000,3.00,+3QCK,+6RCT,
CT-???,Move-by-Wire Lv4,6.45,3000000,3.50,+4QCK,+8RCT,
CT-???,External Mount,0.00,3200,2.00,,"Attaching or detaching a weapon from this mount requires a Complex Action. The mount takes light, heavy, or machine pistols and submachine guns; double the cost of the weapon. Player characters can buy external ammo pods that hold 50 rounds, but only one pod can be mounted at any given time. For quadruple the listed price, the mount can be made to retract into a cyberarm that has had a Body enhancement of at least +1."
CT-???,Tracking Mount,0.00,24000,2.00,,"This mount is a motorized, pivoting tracking system that ties into an eye laser designator. It can take light, heavy, or machine pistols, submachine guns, and assault rifles; triple the cost of the weapon. Player characters can buy external ammo pods that hold 50 rounds, but only one pod can be mounted at any given time. The system gives users 3 points of Recoil Reduction, plus the same modifiers as a laser sight."
CT-???,Articulate Arm,0.25,110000,2.00,,"This mount works like a tracking mount, but has a full range of motion and covers a 360-degree firing area. The articulate arm can take all light weapons up to a light machine gun. The system gives users 3 points of Recoil Reduction, plus the same modifiers as a laser sight."
CT-???,Induction DJ,0.30,3000,2.00,,"Performs identically to standard and improved datajacks (p. 246 of SRII and p. 45 of Shadowtech, respectively). For the induction equivalent to the datajacks listed in Shadowtech, add .1 to the Essence, multiply the Price by 3, and use the Availability/Street Index listed above."
CT-???,Induction Jack Lv1,0.40,1500,2.00,,"Performs identically to standard and improved datajacks (p. 246 of SRII and p. 45 of Shadowtech, respectively). For the induction equivalent to the datajacks listed in Shadowtech, add .1 to the Essence, multiply the Price by 3, and use the Availability/Street Index listed above."
CT-???,Induction Jack Lv2,0.40,3000,2.00,,"Performs identically to standard and improved datajacks (p. 246 of SRII and p. 45 of Shadowtech, respectively). For the induction equivalent to the datajacks listed in Shadowtech, add .1 to the Essence, multiply the Price by 3, and use the Availability/Street Index listed above."
CT-???,Induction Jack Lv3,0.40,6000,2.00,,"Performs identically to standard and improved datajacks (p. 246 of SRII and p. 45 of Shadowtech, respectively). For the induction equivalent to the datajacks listed in Shadowtech, add .1 to the Essence, multiply the Price by 3, and use the Availability/Street Index listed above."
CT-???,Induction Jack Lv4,0.40,12000,2.00,,"Performs identically to standard and improved datajacks (p. 246 of SRII and p. 45 of Shadowtech, respectively). For the induction equivalent to the datajacks listed in Shadowtech, add .1 to the Essence, multiply the Price by 3, and use the Availability/Street Index listed above."
CT-???,Internal Air Tank,0.25,1200,1.50,,"The internal air tank can be vented if necessary."
PW-???,Anchor Cyberfeet,0.00,4000,2.00,,
PW-???,Spectrum Cybraudio,0.30,4500,1.00,,
PW-???,Spectrum Omnidir.,0.50,1500,1.00,,
PW-???,BigKnucks,0.15,5000,1.00,,
PW-???,"Enable" Cyberlimb,1.00,100000,1.00,,
PW-???,Biomonitor,0.10,1000,1.00,,
PW-???,Biomonitor,0.50,40000,1.00,,
PW-???,Autoinjector,0.10,750,0.90,,
PW-???,Pacemaker Coproces,0.20,1500,2.00,,
PW-???,Bomb Implant,0.00,500000,1.00,,
PW-???,Bug Detector Lvl 1,0.10,12500,1.75,,
PW-???,Bug Detector Lvl 2,0.15,25000,1.75,,
PW-???,Bug Detector Lvl 3,0.20,37500,1.75,,
PW-???,Bug Detector Lvl 4,0.25,50000,1.75,,
PW-???,Bug Detector Lvl 5,0.30,62500,1.75,,
PW-???,Bug Detector Lvl 6,0.35,75000,1.75,,
PW-???,Hand Buzz,0.35,52500,1.00,,
PW-???,CyberPillow,0.00,800,0.75,,
PW-???,Cyberpillow case,0.00,100,0.75,,
PW-???,ChemSkins,0.50,6000,1.10,,
PW-???,Clock Radio,0.50,3000,0.80,,
PW-???,Color Contrl Gland,0.02,2500,1.00,,
PW-???,ColorShift Cbreyes,0.25,6000,0.90,,
PW-???,Contracept. Impl.,0.05,1000,1.25,,
PW-???,Cutting Torch,0.40,3500,2.00,,
PW-???,Bio-Injector,0.00,30000,1.00,,
PW-???,Shock Inducer,0.00,2000,1.00,,
PW-???,Taser Touch,0.00,2000,2.00,,
PW-???,Cyberface Evileye,0.15,15000,1.00,,
PW-???,Cyberface Jigsaw,0.25,25000,1.00,,
PW-???,Cyberface Twoface,0.50,35000,1.00,,
PW-???,Limb cvr: Plastic,0.00,4000,0.80,,
PW-???,Limb cvr: RealSkin,0.00,8000,1.50,,
PW-???,Limb cvr: Superchr,0.00,8000,1.20,,
PW-???,Eye Compass Log,0.20,3000,0.90,,
PW-???,Eye Compass Normal,0.10,3000,0.90,,
PW-???,Eye Teargas Sprayr,0.20,2000,1.00,,
PW-???,Eye "Bug Eye",0.25,7500,1.00,,
PW-???,Eye Remote,0.15,15000,2.00,,
PW-???,"Spitting Cobra",0.10,4000,2.00,,
PW-???,Tri-Dart Launcher,0.50,3000,3.00,,
PW-???,Cyberhands Custom,0.00,9000,1.00,,
PW-???,Mood Skin (per m2),0.25,200,0.80,,
PW-???,Cybergun Derringer,0.20,220,2.00,,
PW-???,Dodgeball,0.30,14500,1.50,,
PW-???,Finger: Air Hypo,0.15,600,1.25,,
PW-???,Finger: Dartgun,0.15,1000,2.50,,
PW-???,Finger: FingerBomb,0.15,1500,3.00,,
PW-???,Finger: Flare,0.15,200,1.50,,
PW-???,Finger: Flasher,0.15,7500,1.00,,
PW-???,Finger: Flashlight,0.15,200,1.00,,
PW-???,Finger: Laser,0.15,750,1.25,,
PW-???,Finger: Light Pen,0.15,450,0.90,,
PW-???,Finger: Lighter,0.15,250,0.90,,
PW-???,Finger: Lockpick,0.15,500,1.50,,
PW-???,Finger: MaceSprayr,0.15,1500,2.50,,
PW-???,Finger: Mini Light,0.15,250,0.90,,
PW-???,Finger: Microphone,0.15,3500,1.50,,
PW-???,Finger: Probe Link,0.15,1500,1.00,,
PW-???,Finger: QuikChange,0.00,150,1.00,,
PW-???,Finger: Scissors,0.30,500,1.25,,
PW-???,Finger: SP Grenade,0.15,2000,3.50,,
PW-???,Finger: Storage,0.15,150,1.00,,
PW-???,Finger: Tracker,0.15,1500,2.50,,
PW-???,Finger: Vidcam,0.15,8000,1.50,,
PW-???,Foot Web,0.35,50000,1.00,,
PW-???,E-Monitor level 1,0.20,2000,1.00,,
PW-???,E-Monitor level 2,0.20,4000,1.00,,
PW-???,E-Monitor level 3,0.20,6000,1.00,,
PW-???,E-Monitor level 4,0.20,8000,1.00,,
PW-???,E-Monitor level 5,0.20,10000,1.00,,
PW-???,E-Monitor level 6,0.20,12000,1.00,,
PW-???,Hand Extension,0.35,55000,1.00,,
PW-???,Cybergun Flamethr.,0.90,1200,2.00,,
PW-???,Flashbulb,0.30,2500,2.00,,
PW-???,Frequency Changer,0.25,30000,1.35,,
PW-???,Gang Jazzler,0.20,6000,1.00,,
PW-???,Gas Jet,0.50,3000,2.50,,
PW-???,Series-A Exoskel.,2.00,240000,2.00,,
PW-???,Series-B Exeskel.,2.50,300000,2.00,,
PW-???,Transparent Skin,0.50,1000,0.90,,
PW-???,Subdermal Armor 1,0.10,3500,0.90,,
PW-???,Subdermal Armor 2,0.30,5000,1.00,,
PW-???,Subdermal Armor 3,0.50,6500,1.00,+1BOD,
PW-???,Subdermal Armor 4,0.80,8000,1.10,+1BOD,
PW-???,Subdermal Armor 5,1.00,10000,1.10,+2BOD,
PW-???,Subdermal Armor 6,1.20,11000,1.20,+2BOD,
PW-???,Subdermal Armor 7,1.40,12000,1.30,+2BOD,
PW-???,Subdermal Armor 8,1.60,14500,1.40,+3BOD,-1RCT,
PW-???,Subdermal Armor 9,1.90,17500,1.50,+3BOD,-1RCT,
PW-???,Subdermal Armor 8O,1.60,116000,1.40,+3BOD,
PW-???,Subdermal Armor 9O,1.90,140000,1.50,+3BOD,
PW-???,Hand Grapple,0.00,55000,1.00,,
PW-???,Cybergun GrenLaun.,0.50,2500,2.00,,
PW-???,Foot Grip,0.35,55000,1.00,,
PW-???,Gyro-Stabilizer,0.10,10000,1.20,,
PW-???,Hand Hammer,0.35,50000,1.00,,
PW-???,Chainripp,0.60,12500,1.50,,
PW-???,Hydraulic Ram lvl1,0.25,4500,1.00,,
PW-???,Hydraulic Ram lvl2,0.25,9000,1.00,,
PW-???,Hydraulic Ram lvl3,0.25,13500,1.00,,
PW-???,Hydraulic Ram lvl4,0.25,18000,1.00,,
PW-???,Hydraulic Ram lvl5,0.25,22500,1.00,,
PW-???,Icer,0.40,2000,1.25,,
PW-???,Eye Image Enhance.,0.15,3000,1.50,,
PW-???,Kerenzikov Level 1,0.60,15000,1.00,+2RCT,
PW-???,Kerenzikov Level 2,1.15,25000,1.25,+4RCT,
PW-???,Kill Display,0.30,1000,0.90,,
PW-???,Eye Laser-Comm,0.30,4250,1.50,,
PW-???,n100 Interf. Plugs,0.25,1000,1.00,,
PW-???,Interferometry Sys,0.10,3000,1.00,,
PW-???,Eye: Third Eye,0.10,5000,0.90,,
PW-???,Optishield,0.05,1000,1.00,,
PW-???,Optishield IR,0.10,3000,1.25,,
PW-???,Optishield Lowlite,0.10,3000,1.25,,
PW-???,Optishield Mag (1),0.10,2500,1.00,,
PW-???,Optishield Mag (2),0.10,4000,1.00,,
PW-???,Optishield Mag (3),0.10,6000,1.00,,
PW-???,Optishield Tim/Day,0.05,1000,0.90,,
PW-???,Optishield TimesSq,0.05,3000,1.00,,
PW-???,Optishield TimeSq+,0.15,15000,1.50,,
PW-???,Nails Show-Off,0.10,425,0.75,,
PW-???,Nails Turn-On,0.05,200,0.75,,
PW-???,Leg Boosters,0.00,5000,1.00,,
PW-???,Eye: "Revelation",0.25,6000,0.80,,
PW-???,Light Tattoos,0.05,100,0.60,,
PW-???,LimbLink,0.15,1000,1.00,,
PW-???,LiveWires,0.35,4000,0.90,,
PW-???,Hand Mace,0.50,10000,3.00,,
PW-???,Mag-Duct Spots,0.20,2200,1.00,,
PW-???,Feet/Hands Magnet,0.40,500,1.00,,
PW-???,Cellular Phone,0.50,5000,0.90,,
PW-???,Micromissile Lnchr,1.10,4500,2.00,,
PW-???,Hand Modular,0.35,48000,1.00,,
PW-???,Mr. Studd,0.35,3000,2.00,,
PW-???,Midnight Lady,0.35,3000,2.00,,
PW-???,Nasal Filters lvl1,0.10,600,1.00,,
PW-???,Nasal Filters lvl2,0.20,1200,1.00,,
PW-???,Nasal Filters lvl3,0.30,1800,1.00,,
PW-???,Nasal Filters lvl4,0.40,2400,1.00,,
PW-???,Optical Interface,0.20,6000,1.00,,
PW-???,Pain Editor,0.60,60000,1.20,,
PW-???,Program Carrier,0.20,25000,1.00,,
PW-???,Quickdraw Armhlstr,0.00,400,1.30,,
PW-???,Braindance Recordr,2.00,450000,3.00,,
PW-???,Teeth: Retr. Vamp.,0.20,500,1.00,,
PW-???,Teeth: Ext.Canines,0.10,1000,1.00,,
PW-???,Teeth: Sharkgrin,0.10,500,1.00,,
PW-???,Teeth: Shark. Spec,0.20,1400,1.00,,
PW-???,Hand Ripper,0.35,52500,1.00,,
PW-???,Rippers,0.20,8000,1.00,,
PW-???,Scratchers,0.10,5000,1.00,,
PW-???,Shift-tacts,0.05,100,0.80,,
PW-???,Skate Foot,0.00,10000,1.00,,
PW-???,Skinwatch,0.10,500,0.90,,
PW-???,Smartball System,0.50,4000,1.00,,
PW-???,Speedware,1.70,50000,1.00,+2RCT,+1INI,
PW-???,Hand Spike,0.35,50000,1.00,,
PW-???,Heel Spike,0.35,50000,1.00,,
PW-???,Subdermal Armor,0.50,12000,1.50,,
PW-???,Subdermal Viewscrn,0.25,500,1.00,,
PW-???,SuperSized Arms,1.00,135000,1.00,,
PW-???,FleshWeave,0.00,22000,1.50,,
PW-???,Synthskins,0.80,12000,1.20,,
PW-???,Tactile Boost lvl1,0.20,1500,1.00,,
PW-???,Tactile Boost lvl2,0.20,3000,1.00,,
PW-???,Tactile Boost lvl3,0.20,4500,1.00,,
PW-???,Tactile Boost lvl4,0.20,6000,1.00,,
PW-???,Tactile Boost lvl5,0.20,7500,1.00,,
PW-???,Tactile Boost lvl6,0.20,9000,1.00,,
PW-???,Foot Talon,0.35,52500,1.00,,
PW-???,Tazer Grip,0.25,3000,2.00,,
PW-???,Techhair,0.10,100,0.75,,
PW-???,TimeSquare Marquee,0.10,3000,1.00,,
PW-???,TimeSquare Plus,0.30,15000,1.50,,
PW-???,Foot Tool,0.35,47000,1.00,,
PW-???,Hand Tool,0.35,47000,1.25,,
PW-???,Total Body Plating,3.00,68000,1.10,+3BOD,
PW-???,Ultrasound Vision,0.80,25000,1.50,,
PW-???,Eye Ultra Violet,0.20,3000,1.25,,
PW-???,Video Cam/Transm.,0.80,33000,1.00,,
PW-???,Video Imager,0.25,3500,1.50,,
PW-???,Voice Pattern Lvl1,0.25,35000,1.10,,
PW-???,Voice Pattern Lvl2,0.30,50000,1.10,,
PW-???,Voice Pattern Lvl3,0.35,65000,1.25,,
PW-???,Voice Pattern Lvl4,0.45,85000,1.50,,
PW-???,Voice Pattern Lvl5,0.60,110000,1.75,,
PW-???,Voice Synth Lvl 1,0.15,55000,1.10,,
PW-???,Voice Synth Lvl 2,0.30,70000,1.20,,
PW-???,Voice Synth Lvl 3,0.45,85000,1.30,,
PW-???,Voice Synth Lvl 4,0.60,100000,1.40,,
PW-???,Voice Synth Lvl 5,0.75,115000,1.50,,
PW-???,Voice Synth Lvl 6,0.90,130000,1.60,,
PW-???,Watch-Man,0.00,1800,1.00,,
PW-???,Wearman Mark II,0.00,200,0.75,,
PW-???,Whip,0.25,4000,2.00,,
PW-???,Winch,0.00,5000,1.10,,
PW-???,Wolvers,0.30,8000,1.00,,
PW-???,Romanova Cyberlegs,2.00,250000,1.00,,
PW-???,Verbal Eyes: Basic,0.20,7500,0.90,,
PW-???,Verbal Eyes: Custm,0.50,24000,0.90,,
PW-???,Verbal Eyes: Video,0.50,22000,1.00,,
PW-???,Zetatech Bodycomp,0.80,9000,2.00,,
N/SL-???,Frontline Smartlnk,0.20,1000,1.10,,
N/SL-???,Commando Smartlink,0.35,2000,1.10,,
N/SL-???,Stealth Smartlink,0.50,10000,1.25,,
N/SL-???,Stealth Datajack 1,0.15,2000,1.00,,
N/SL-???,Stealth Datajack 2,0.20,4000,1.00,,
N/SL-???,Stealth Datajack 3,0.30,16000,1.00,,
N/SL-???,Fuchi Bodyjack,0.25,1300,0.90,,
N/SL-???,Fuchi Bodyjack 1,0.15,800,0.90,,
N/SL-???,Fuchi Bodyjack 2,0.20,1300,0.90,,
N/SL-???,Fuchi Bodyjack 3,0.25,2300,0.90,,
N/SL-???,Fuchi Bodyjack 4,0.30,4300,0.90,,
N/SL-???,Perman. Softlink 1,0.10,3000,1.00,,
N/SL-???,Perman. Softlink 2,0.15,6000,1.00,,
N/SL-???,Perman. Softlink 3,0.20,12000,1.00,,
N/SL-???,Perman. Softlink 4,0.25,24000,1.00,,
N/SL-???,Ares React System1,1.20,29000,1.00,+2RCT,
N/SL-???,Ares React System2,2.80,87000,1.25,+4RCT,
N/SL-???,Ares React System3,3.00,153000,1.50,+6RCT,
N/SL-???,Raineer Reflex 1,1.40,27000,1.00,+1INI,
N/SL-???,Raineer Reflex 2,2.10,75000,1.25,+2INI,
N/SL-???,Raineer Reflex 3,3.50,185000,1.50,+3INI,
N/SL-???,Ares Reflex Contr.,0.10,500,0.90,,
N/SL-???,Shiawase Booster 1,1.30,29000,3.50,,
N/SL-???,Shiawase Booster 2,2.60,87000,4.00,,
N/SL-???,Zeiss FullSpectrum,0.20,10000,1.10,,
N/SL-???,Colt Scout,0.25,12800,1.00,,
N/SL-???,Colt Sniper,0.40,17500,1.00,,
N/SL-???,Nikkon Tourister,0.60,22000,1.20,,
N/SL-???,Nikkon ProSystem,1.70,55000,1.20,,
N/SL-???,RCA Vidpack,0.90,38000,1.00,,
N/SL-???,Sony XB5000,1.25,80000,1.00,,
N/SL-???,Fuchi VI300,1.90,96000,1.10,,
N/SL-???,RCA Tridpack,0.90,36000,1.00,,
N/SL-???,Fuchi FullTrid,2.10,103000,1.20,,
N/SL-???,Bose Voxx System,0.40,165000,1.00,,
N/SL-???,S'wase FilterSuite,2.30,140000,1.10,,
N/SL-???,Sony Skillman,0.55,40000,1.00,,
N/SL-???,Ares Skillmaster,3.50,720000,1.00,,
N/SL-???,Ares Radio Suite,0.80,110000,1.20,,
N/SL-???,Ares Secure Phone,0.60,122000,1.20,,
N/SL-???,Ares BattleLink,1.00,340000,1.20,,
NAGEE-???,Ultrasound Eyes #1,0.10,2000,1.00,,
NAGEE-???,Ultrasound Eyes #2,0.20,5000,1.00,,
NAGEE-???,Ultras. Headlights,0.00,2250,1.00,,