Power,Cost,Source
Astral Perception,2,"SRII, p. 125"
Attribute Boost,0.5/level,"Grimoire II, p. 34"
Blind Fighting,0.5,"Awakenings, p. 115"
Body Control,0.5/level,"Grimoire II, p. 34"
Combat Sense,Variable,"SRII, p. 125"
Counterstrike,0.5/level,"Awakenings, p. 115"
Delay Damage,1,"Awakenings, p. 115"
Distance Strike,2,"Awakenings, p. 116"
Empathic Sense,0.5,"Awakenings, p. 116"
Enhanced Centering,2,"Grimoire II, p. 34"
Enhanced Coordination,0.25/level,"Awakenings, p. 116"
Enhanced Perception,Variable,"Corporate Security, p. 104"
Flexibility,0.25/level,"Awakenings, p. 116"
Freefall,0.25/level,"Awakenings, p. 116"
Improved Ability,Variable,"SRII, p. 125"
Improved Physical Attributes,Variable,"SRII, p. 125"
Improved Physical Senses,0.25 each,"SRII, p. 125; Awakenings, p. 116"
Increased Reaction,Variable,"SRII, p. 126"
Increased Reflexes,Variable,"SRII, p. 126"
Iron Will,0.5/level,"Awakenings, p. 117"
Killing Hands,Variable,"SRII, p. 126"
Magic Resistance,1/level,"Awakenings, p. 117"
Magic Sense,0.5,"Awakenings, p. 117"
Missile Mastery,1,"Awakenings, p. 117"
Missile Parry,1,"Grimoire II, p. 34"
Missile Parry (Extended),1.5,"Corporate Security, p. 105"
Mystic Armor,1/level,"Grimoire II, p. 24"
Nerve Strike,1,"Awakenings, p. 117"
Pain Resistance,0.5/level,"SRII, p. 126"
Quick Draw,0.5,"Awakenings, p. 117"
Quick Strike,0.25/level,"Awakenings, p. 118"
Rapid Healing,0.5/level,"Awakenings, p. 118"
Rooting,0.25/level,"Awakenings, p. 118"
Sixth Sense,0.5,"Awakenings, p. 118"
Smashing Blow,1,"Awakenings, p. 118"
Spell Shroud,0.25/level,"Awakenings, p. 119"
Suspended State,1,"Grimoire II, p. 34"
Temperature Tolerance,0.25/level,"Awakenings, p. 119"
Traceless Walk,0.5,"Awakenings, p. 119"